Date,Price
10/26/2023,1463.4
10/25/2023,1496.5
10/23/2023,1506.05
10/20/2023,1522.8
10/19/2023,1514.95
10/18/2023,1519.75
10/17/2023,1541.2
10/16/2023,1529.6
10/13/2023,1535.75
10/12/2023,1549.85
10/11/2023,1539.6
10/10/2023,1524.85
10/9/2023,1516.25
10/6/2023,1534.05
10/5/2023,1535.75
10/4/2023,1529.55
10/3/2023,1508.05
9/29/2023,1526.3
9/28/2023,1523.7
9/27/2023,1526.85
9/26/2023,1537.65
9/25/2023,1531
9/22/2023,1529.65
9/21/2023,1553.35
9/20/2023,1563.7
9/18/2023,1629.05
9/15/2023,1661.75
9/14/2023,1642.9
9/13/2023,1643.9
9/12/2023,1636.9
9/11/2023,1631.8
9/8/2023,1623.4
9/7/2023,1610.85
9/6/2023,1595.5
9/5/2023,1574.9
9/4/2023,1584.55
9/1/2023,1574.7
8/31/2023,1571.45
8/30/2023,1578.7
8/29/2023,1590.3
8/28/2023,1577.75
8/25/2023,1561.5
8/24/2023,1579.3
8/23/2023,1586.6
8/22/2023,1582.7
8/21/2023,1589.5
8/18/2023,1590.75
8/17/2023,1597.3
8/16/2023,1606.2
8/14/2023,1610.9
8/11/2023,1618.8
8/10/2023,1635.85
8/9/2023,1650.5
8/8/2023,1649.9
8/7/2023,1651.25
8/4/2023,1652.2
8/3/2023,1628.65
8/2/2023,1640.5
8/1/2023,1662.25
7/31/2023,1651.2
7/28/2023,1643.5
7/27/2023,1673.15
7/26/2023,1690.7
7/25/2023,1696.6
7/24/2023,1678.4
7/21/2023,1675.75
7/20/2023,1688.75
7/19/2023,1685.1
7/18/2023,1677.5
7/17/2023,1678.9
7/14/2023,1644.5
7/13/2023,1641.1
7/12/2023,1632.95
7/11/2023,1648.4
7/10/2023,1656.45
7/7/2023,1660.4
7/6/2023,1675
7/5/2023,1673.3
7/4/2023,1728.2
7/3/2023,1719.8
6/30/2023,1701.4
6/28/2023,1676.15
6/27/2023,1658.6
6/26/2023,1635.55
6/23/2023,1643.5
6/22/2023,1643.6
6/21/2023,1635.6
6/20/2023,1607.5
6/19/2023,1604.15
6/16/2023,1602.75
6/15/2023,1582.05
6/14/2023,1601.75
6/13/2023,1603.5
6/12/2023,1600.8
6/9/2023,1610.6
6/8/2023,1608.7
6/7/2023,1607.7
6/6/2023,1599.4
6/5/2023,1604.4
6/2/2023,1606.5
6/1/2023,1604
5/31/2023,1610.85
5/30/2023,1636.75
5/29/2023,1635.5
5/26/2023,1615.8
5/25/2023,1609.6
5/24/2023,1615.8
5/23/2023,1637.2
5/22/2023,1641.05
5/19/2023,1646.9
5/18/2023,1645
5/17/2023,1638.45
5/16/2023,1647.3
5/15/2023,1675.8
5/12/2023,1667.8
5/11/2023,1653.2
5/10/2023,1652.1
5/9/2023,1644.5
5/8/2023,1644.45
5/5/2023,1625.65
5/4/2023,1727.8
5/3/2023,1693.15
5/2/2023,1687.25
4/28/2023,1687.6
4/27/2023,1681
4/26/2023,1671.8
4/25/2023,1664.15
4/24/2023,1688.15
4/21/2023,1674.6
4/20/2023,1671.9
4/19/2023,1665.7
4/18/2023,1659.6
4/17/2023,1666.65
4/13/2023,1692.45
4/12/2023,1684.9
4/11/2023,1663.3
4/10/2023,1658.45
4/6/2023,1666.35
4/5/2023,1653.75
4/3/2023,1610.55
3/31/2023,1609.55
3/29/2023,1587.8
3/28/2023,1580.2
3/27/2023,1567.45
3/24/2023,1560.65
3/23/2023,1563.15
3/22/2023,1575.8
3/21/2023,1579.45
3/20/2023,1561.75
3/17/2023,1572.65
3/16/2023,1551.9
3/15/2023,1541.9
3/14/2023,1564.35
3/13/2023,1568.55
3/10/2023,1588.65
3/9/2023,1630.7
3/8/2023,1630.55
3/6/2023,1627.3
3/3/2023,1615.9
3/2/2023,1584.45
3/1/2023,1598.05
2/28/2023,1599.6
2/27/2023,1592.9
2/24/2023,1588.95
2/23/2023,1603.25
2/22/2023,1614.2
2/21/2023,1646.5
2/20/2023,1640.35
2/17/2023,1655.9
2/16/2023,1664.25
2/15/2023,1670.3
2/14/2023,1673.7
2/13/2023,1658.35
2/10/2023,1657.1
2/9/2023,1650.55
2/8/2023,1654
2/7/2023,1654.2
2/6/2023,1651.75
2/3/2023,1658.8
2/2/2023,1603.35
2/1/2023,1627.55
1/31/2023,1603.5
1/30/2023,1614.15
1/27/2023,1615.8
1/25/2023,1648.65
1/24/2023,1695.5
1/23/2023,1673.1
1/20/2023,1660.95
1/19/2023,1644.1
1/18/2023,1637.3
1/17/2023,1608.9
1/16/2023,1585.3
1/13/2023,1600.65
1/12/2023,1599.4
1/11/2023,1590.9
1/10/2023,1568.3
1/9/2023,1597.5
1/6/2023,1594.4
1/5/2023,1599.7
1/4/2023,1610.05
1/3/2023,1639.35
1/2/2023,1628.7
12/30/2022,1628.15
12/29/2022,1641.3
12/28/2022,1629.8
12/27/2022,1631.1
12/26/2022,1629.45
12/23/2022,1597.65
12/22/2022,1612.05
12/21/2022,1617.6
12/20/2022,1633.4
12/19/2022,1644.75
12/16/2022,1639.65
12/15/2022,1631.8
12/14/2022,1662.25
12/13/2022,1648.3
12/12/2022,1643.75
12/9/2022,1631.05
12/8/2022,1619.5
12/7/2022,1610.45
12/6/2022,1611.15
12/5/2022,1612.95
12/2/2022,1607.1
12/1/2022,1619.5
11/30/2022,1608.45
11/29/2022,1597.85
11/28/2022,1600.25
11/25/2022,1617.65
11/24/2022,1625.15
11/23/2022,1599.15
11/22/2022,1595
11/21/2022,1597.35
11/18/2022,1613.9
11/17/2022,1618.15
11/16/2022,1632.9
11/15/2022,1619
11/14/2022,1615.05
11/11/2022,1611.15
11/10/2022,1524.75
11/9/2022,1508.35
11/7/2022,1508.8
11/4/2022,1497.15
11/3/2022,1507.55
11/2/2022,1514.2
11/1/2022,1513.25
10/31/2022,1496.7
10/28/2022,1458.7
10/27/2022,1454.4
10/25/2022,1450.9
10/24/2022,1461.05
10/21/2022,1438.6
10/20/2022,1448.8
10/19/2022,1458.65
10/18/2022,1443.85
10/17/2022,1446.55
10/14/2022,1439
10/13/2022,1393.6
10/12/2022,1409.8
10/11/2022,1400.65
10/10/2022,1415
10/7/2022,1430.8
10/6/2022,1437
10/4/2022,1453
10/3/2022,1413.2
9/30/2022,1421.35
9/29/2022,1382.35
9/28/2022,1389.55
9/27/2022,1413.85
9/26/2022,1426.65
9/23/2022,1446.15
9/22/2022,1486
9/21/2022,1518.35
9/20/2022,1520.7
9/19/2022,1502.6
9/16/2022,1492.75
9/15/2022,1520.7
9/14/2022,1528.65
9/13/2022,1513.1
9/12/2022,1493.55
9/9/2022,1498.6
9/8/2022,1497.6
9/7/2022,1482.3
9/6/2022,1489.35
9/5/2022,1495.05
9/2/2022,1485.5
9/1/2022,1472.15
8/30/2022,1486.1
8/29/2022,1439.4
8/26/2022,1465.1
8/25/2022,1464.85
8/24/2022,1472.85
8/23/2022,1465.8
8/22/2022,1470.35
8/19/2022,1493.05
8/18/2022,1511.7
8/17/2022,1509.9
8/16/2022,1502.15
8/12/2022,1485.15
8/11/2022,1485.7
8/10/2022,1466.3
8/8/2022,1462.05
8/5/2022,1427.05
8/4/2022,1431.9
8/3/2022,1433.6
8/2/2022,1430.25
8/1/2022,1446.15
7/29/2022,1434.2
7/28/2022,1416.85
7/27/2022,1404.4
7/26/2022,1393.75
7/25/2022,1396.6
7/22/2022,1392.5
7/21/2022,1360.75
7/20/2022,1365.05
7/19/2022,1348.05
7/18/2022,1347.55
7/15/2022,1362.05
7/14/2022,1351.05
7/13/2022,1357.85
7/12/2022,1391.8
7/11/2022,1406.15
7/8/2022,1397.1
7/7/2022,1395.8
7/6/2022,1371.25
7/5/2022,1352.6
7/4/2022,1355.65
7/1/2022,1353.75
6/30/2022,1348
6/29/2022,1343.95
6/28/2022,1345.9
6/27/2022,1356.25
6/24/2022,1353.8
6/23/2022,1335.15
6/22/2022,1330.25
6/21/2022,1336.55
6/20/2022,1322.15
6/17/2022,1289.75
6/16/2022,1281.3
6/15/2022,1307.45
6/14/2022,1312
6/13/2022,1326.6
6/10/2022,1351.1
6/9/2022,1377.7
6/8/2022,1367.4
6/7/2022,1362.6
6/6/2022,1378.45
6/3/2022,1380.3
6/2/2022,1385.1
6/1/2022,1394.85
5/31/2022,1388.95
5/30/2022,1401.55
5/27/2022,1392.05
5/26/2022,1366.7
5/25/2022,1328.8
5/24/2022,1318.95
5/23/2022,1304
5/20/2022,1320.95
5/19/2022,1287.05
5/18/2022,1313.9
5/17/2022,1314
5/16/2022,1305.1
5/13/2022,1291.35
