Date,Price,Open,High,Low,Volume,Change(%)
10/26/2023,1463.4,1491.25,1492,1460.25,27780899,-2.21%
10/25/2023,1496.5,1521,1522.8,1491.45,14155998,-0.63%
10/23/2023,1506.05,1523.5,1528.75,1500.1,11188068,-1.10%
10/20/2023,1522.8,1505,1527,1505,10547005,0.52%
10/19/2023,1514.95,1505.4,1526.25,1503.2,15126182,-0.32%
10/18/2023,1519.75,1541.2,1541.2,1518.1,15608100,-1.39%
10/17/2023,1541.2,1555.75,1555.75,1535,16451279,0.76%
10/16/2023,1529.6,1531.5,1534.45,1520.5,8928042,-0.40%
10/13/2023,1535.75,1540,1548.8,1529.95,19872650,-0.91%
10/12/2023,1549.85,1536.1,1552,1531.6,11012668,0.67%
10/11/2023,1539.6,1530.1,1542.15,1528.5,15666680,0.97%
10/10/2023,1524.85,1520.55,1529,1515.2,16633146,0.57%
10/9/2023,1516.25,1528,1530,1512,8227486,-1.16%
10/6/2023,1534.05,1544,1545,1529.85,8879678,-0.11%
10/5/2023,1535.75,1535.05,1551.55,1532.6,24256337,0.41%
10/4/2023,1529.55,1495,1535,1489.25,27324715,1.43%
10/3/2023,1508.05,1527,1527,1506,19485847,-1.20%
9/29/2023,1526.3,1523.7,1535.45,1522.3,16026891,0.17%
9/28/2023,1523.7,1534,1537.6,1518.35,27677094,-0.21%
9/27/2023,1526.85,1523,1532.5,1515,19669269,-0.70%
9/26/2023,1537.65,1525,1540,1525,13787654,0.43%
9/25/2023,1531,1525,1540.7,1525,20104377,0.09%
9/22/2023,1529.65,1559,1564.4,1523.75,30852125,-1.53%
9/21/2023,1553.35,1553,1568.95,1537.05,36420721,-0.66%
9/20/2023,1563.7,1599,1599,1560.4,57737324,-4.01%
9/18/2023,1629.05,1653.75,1655,1626.1,18528144,-1.97%
9/15/2023,1661.75,1650,1670,1650,86705601,1.15%
9/14/2023,1642.9,1644.25,1650,1635.1,11769424,-0.06%
9/13/2023,1643.9,1631.3,1651.6,1628.6,23210047,0.43%
9/12/2023,1636.9,1640,1642.9,1625.05,19516670,0.31%
9/11/2023,1631.8,1628.9,1636.5,1624,15786511,0.52%
9/8/2023,1623.4,1608.3,1632.9,1607.6,17251105,0.78%
9/7/2023,1610.85,1595.5,1614,1587.15,17104171,0.96%
9/6/2023,1595.5,1576.8,1600,1574.9,28160455,1.31%
9/5/2023,1574.9,1588.4,1588.4,1570.6,19356041,-0.61%
9/4/2023,1584.55,1590,1591.45,1574.9,12536819,0.63%
9/1/2023,1574.7,1571,1579,1559.35,21613388,0.21%
8/31/2023,1571.45,1579,1583.15,1563.1,50037886,-0.46%
8/30/2023,1578.7,1603.95,1603.95,1573.7,14042102,-0.73%
8/29/2023,1590.3,1589.7,1592.65,1581.45,17769466,0.80%
8/28/2023,1577.75,1561.5,1582.65,1561.5,14433619,1.04%
8/25/2023,1561.5,1574.55,1577.5,1558.4,15034878,-1.13%
8/24/2023,1579.3,1593.3,1596.2,1576.15,21572896,-0.46%
8/23/2023,1586.6,1580,1590.55,1573.25,18249294,0.25%
8/22/2023,1582.7,1596.35,1598,1580,16136785,-0.43%
8/21/2023,1589.5,1600.5,1600.5,1587,10918635,-0.08%
8/18/2023,1590.75,1587.55,1596.3,1585.5,12816683,-0.41%
8/17/2023,1597.3,1597.6,1609.9,1594,26442020,-0.55%
8/16/2023,1606.2,1583.1,1609.65,1581.3,17068771,-0.29%
8/14/2023,1610.9,1611,1615,1600.25,15652205,-0.49%
8/11/2023,1618.8,1638.4,1638.4,1616.2,14112911,-1.04%
8/10/2023,1635.85,1647.05,1654.25,1631,25390559,-0.89%
8/9/2023,1650.5,1653,1654.5,1631.1,16680618,0.04%
